ativo,conselho,cpf,documento_conselho,email,especialidade,especialidade_id,foto,fornecedor_id,nome,profissional_id,rqe,sexo,sys_user,tratamento,uf_conselho
True,Selecionador de pessoal,160.543.972-06,zV-8880599,aliciafernandes@yahoo.com.br,Dermatologia,4,https://dummyimage.com/354x310,4ca07112-fae9-445f-9df1-e5187a618f32,Caio Nunes,01066e99-ccda-49d6-805a-c408af120c79,88297,F,ecardoso,Tratamento C,PR
False,Major,391.420.578-41,lq-9287411,laura26@das.com,Pediatria,1,https://dummyimage.com/868x1004,ef8ec163-bb51-4b79-936c-1f36d4e6813b,Isaac da Cruz,8a32fc84-91c6-4b9f-b30f-bf0c45770e07,29757,F,pedro-henriquenogueira,Tratamento B,PI
False,Gerente de vendas,714.652.089-76,RW-0773025,mendesnatalia@silveira.br,Ortopedia,4,https://www.lorempixel.com/526/0,779c7f76-97de-4b1d-b5dd-5160fae959ae,Laís da Rosa,f0acd6dd-11ad-47e3-a7d7-4c2898eba94c,53837,M,gcorreia,Tratamento B,RS
True,Preparador de máquinas,054.792.831-97,xA-1718904,bviana@souza.com,Pediatria,5,https://placeimg.com/995/91/any,5425853f-ec6d-417e-8f3a-bc43c96c3406,Maria Vitória da Rocha,889ac751-073a-49b0-bc39-4a08cd56cde3,80013,F,joao-guilherme18,Tratamento A,AP
False,Enfermeiro,524.378.601-26,Vq-0808963,flima@ig.com.br,Cardiologia,4,https://placekitten.com/565/206,c4c17874-1e8a-4354-bf03-4a82c39e8cd0,Luiz Henrique Alves,2b540475-ff5d-4012-9322-327a5acdb166,21320,M,diasmanuela,Tratamento C,RJ
True,Revisor,817.956.234-46,si-7135820,wpereira@ferreira.com,Dermatologia,1,https://dummyimage.com/870x643,57ea5560-37a8-431e-bca8-ab6a1ec099c6,Srta. Ana Julia Pires,f2e5e367-e410-41c9-ad20-3ca7c946ec39,81817,M,diaslarissa,Tratamento C,DF
False,Viveirista,986.375.104-93,an-5716374,lopesbreno@hotmail.com,Cardiologia,2,https://dummyimage.com/772x9,543f0a51-c642-4bd0-8e8c-6647fd2d1cb0,André da Rosa,0afbd720-7e5f-43db-add0-249b3aa8e003,75914,M,salmeida,Tratamento C,ES
True,Médico geneticista,489.715.063-93,ve-5742900,vpeixoto@novaes.com,Cardiologia,5,https://dummyimage.com/785x213,babfc492-0604-4494-96bf-477045eac69c,Alana da Cruz,a2dd8e0f-997e-43a4-be80-07801d3234f3,18865,F,luiz-migueljesus,Tratamento C,MG
True,Comandante,321.896.407-50,QT-5325870,rezendedavi-lucca@rocha.br,Ortopedia,2,https://placeimg.com/768/751/any,3ffa9849-1b27-40dc-87e4-589700c47f8a,Enrico Caldeira,f8ffbf9d-a2cd-4bf4-9604-e85ee47a5d0a,62002,F,stephanycunha,Tratamento A,RS
True,Engenheiro agrônomo,068.137.594-93,wm-0866474,alice27@hotmail.com,Cardiologia,4,https://dummyimage.com/286x684,fb3fb41c-6042-489f-ab97-9a9118035b12,Nicole da Paz,04406739-d50f-4385-b314-ddc63f5f2c6a,71173,M,cunharaquel,Tratamento B,RO
False,Saxofonista,493.286.501-51,xk-5956755,mendesana-julia@hotmail.com,Cardiologia,2,https://placekitten.com/329/873,c3304daa-a9bf-40a4-b0c6-b9fb0032d3b6,Gabriela da Mota,cd024f82-3fff-4dd2-b525-ec800985dc69,82780,M,anthony92,Tratamento A,PE
False,Lapidário,672.831.945-09,Gx-2549230,eloahsales@uol.com.br,Ginecologia,3,https://www.lorempixel.com/718/72,9e636666-a0ef-4e9e-a33d-04cd82fc01c3,Dr. Gustavo Santos,9a8e2f45-555c-40bd-a2ea-0c527e8cd9ee,57899,F,walves,Tratamento B,PA
False,Assessor de imprensa,326.058.941-42,yu-6152602,otavio24@gmail.com,Cardiologia,4,https://placekitten.com/871/998,40023e29-e1ee-453c-849c-5ada2f67cf13,Leandro Fogaça,f1a611c6-4f95-426e-8dbe-b1cdc17651a2,53271,M,maria-luiza94,Tratamento C,TO
False,Lavador,301.629.874-04,Nb-7080404,augustobarros@sales.net,Ginecologia,4,https://placekitten.com/478/94,67c54385-70b9-489f-8b58-fed90b756bdb,Antônio Caldeira,288761ad-2e69-4256-b046-4ee46782cbde,13018,F,brunoribeiro,Tratamento B,MT
True,Gerente de inovações ou novos negócios,590.712.683-30,Gr-4259275,ocunha@yahoo.com.br,Cardiologia,2,https://placekitten.com/71/984,2fb99c6a-c60c-4d71-9354-12650b4826d1,Ana Sophia Pinto,9c8d36aa-3666-40cf-9102-8a5412ed4873,67447,F,pedro-lucas23,Tratamento C,AL
True,Caminhoneiro,921.635.478-09,Oq-5641031,oda-costa@oliveira.br,Pediatria,4,https://www.lorempixel.com/864/650,02ac75f3-6988-455b-9262-3abb4dab17fa,Ana Nascimento,0abcf20a-9dea-4c06-8f16-1e271eea0ff8,98115,F,felipeduarte,Tratamento A,SC
True,Psicomotricista,053.267.918-03,pO-8030411,bryan76@yahoo.com.br,Pediatria,5,https://dummyimage.com/827x80,e386fd38-afe4-4c7e-820e-e4df02e107ff,Dr. Kaique Freitas,111b74f4-8995-4a94-86b0-d66adb3c4217,35197,F,oliviamartins,Tratamento B,PE
True,Separador,845.307.962-56,rL-0965200,valentina52@gomes.com,Dermatologia,3,https://placekitten.com/498/104,896d6392-8155-4541-8c1c-d93a8c33e6ba,Yasmin Carvalho,040d1c12-31fa-4ccf-90a1-29f56b6c5a07,20832,F,pferreira,Tratamento A,MA
False,Engenheiro cartográfico,678.953.412-19,Xp-7772437,cunhaemilly@gmail.com,Cardiologia,4,https://www.lorempixel.com/404/886,4f00f880-3178-4c91-b57f-b14fbadd3680,Caio Mendes,9acd2fd5-2833-4cf8-9a08-52c6abf4b816,65215,M,novaesjoao-gabriel,Tratamento B,PA
True,Ator,540.189.723-50,xf-2846851,isadora67@gmail.com,Cardiologia,5,https://placeimg.com/590/769/any,658d9792-2cd8-4293-b576-199fdde8876e,Srta. Carolina da Cunha,774fb88b-a7d3-4129-b5e2-6cf2ed5d3af5,89317,M,pietro47,Tratamento C,AC
False,Engenheiro civil,830.741.529-23,DU-6556376,vmelo@porto.com,Cardiologia,1,https://dummyimage.com/864x366,b6cc1016-451e-4e2c-83b5-f2901c24ed00,Luiz Felipe Santos,b0ea30f6-e06e-479d-bb03-79d8ac8f531c,96470,F,kaiquealmeida,Tratamento C,ES
False,Homeopata,618.524.097-11,Gg-1356025,stephany03@yahoo.com.br,Pediatria,2,https://placeimg.com/26/0/any,57ae2e01-6862-4c5b-ba57-ec50bd9ce4cb,Bernardo da Cruz,546afd04-e0a1-4f0e-aa1b-9b6874861e2c,31021,F,qferreira,Tratamento C,PI
True,Psicomotricista,061.432.895-06,Gs-2298817,leticiateixeira@hotmail.com,Cardiologia,2,https://placeimg.com/995/762/any,2e487477-d0bb-40e1-9580-ef6143276ef6,Enzo Gabriel Caldeira,e1cc7e6b-f421-4030-bcc4-be106ea8ccf2,77916,F,cardosobernardo,Tratamento A,CE
True,Estilista,365.870.914-66,ma-6383979,da-rochaisabel@castro.com,Pediatria,5,https://placekitten.com/924/770,42b15e04-b125-4cc9-bcfe-565b1324311d,Bruno da Costa,6a6e27b1-c067-475d-b48a-ead4741aafad,34432,M,ana-carolinacosta,Tratamento A,MG
False,Engenheiro de controle e automação,645.920.183-89,KB-6421976,nathan08@farias.com,Ortopedia,1,https://www.lorempixel.com/620/997,6f8129b3-94aa-4e29-bb02-813a5cc2d537,Sra. Mariane Lima,f831f89f-c0b3-42d0-a191-d34ef513e72e,15972,M,murilo39,Tratamento C,DF
True,Carpinteiro,789.645.130-10,No-4040748,tduarte@bol.com.br,Dermatologia,2,https://dummyimage.com/573x676,f6f5fff2-b2d5-4f09-a5a6-270f1ca957ae,Caio da Paz,4893b8a5-a831-44c3-a443-2fa1ea804660,34537,F,larissamartins,Tratamento A,PA
False,Cartunista,193.627.405-16,Ux-4349093,joanada-mata@gmail.com,Pediatria,1,https://placekitten.com/773/208,0da62abf-1a0e-418c-bf95-36dfcb9c2ef6,Clara Correia,e5ce3e34-5f81-4b2a-8dd5-650139e7be36,30489,F,caldeirakevin,Tratamento B,SP
True,Paginador,479.213.586-91,zF-0251669,juliana01@gomes.br,Ortopedia,5,https://placeimg.com/1001/585/any,d3d74874-b7ff-4ec2-98e0-fbc180e37965,Sra. Ana Julia da Mata,709e5307-e6c5-4673-abe5-9ac04fa80319,51743,M,barbosabruna,Tratamento B,PR
True,Astrônomo,658.942.307-56,oo-7580396,breno33@ig.com.br,Pediatria,4,https://dummyimage.com/958x616,35ca3ea2-f180-4e10-83f3-b44e5fd93e01,Dra. Fernanda Correia,9e578ac4-6e66-44d3-9be3-a41f68b55ce4,52139,M,peixotoluigi,Tratamento C,BA
True,Advogado,603.129.548-24,eE-4753183,almeidaana-livia@castro.net,Cardiologia,4,https://www.lorempixel.com/783/466,595c50c8-0d95-482c-9393-1689a7a73136,Ana Cavalcanti,2442aa51-b98c-4c4e-9b27-e0a865de63c6,44004,M,vieiraemanuella,Tratamento A,RR
False,Professor,297.056.148-49,VE-9381595,luiz-otavio42@gmail.com,Dermatologia,4,https://placekitten.com/490/149,1d5fa5a3-990d-435f-9a64-3b4ef5ddafd5,Bryan da Mata,72d27e3a-acac-48fe-bd57-2e7d921881a2,64642,M,joaquim94,Tratamento C,PI
False,Acompanhante,240.376.581-35,zk-7690811,matheus18@peixoto.com,Ortopedia,2,https://dummyimage.com/42x854,122c4372-2f63-44e2-8bef-86547a4c6694,Natália Moraes,36890689-12a5-4495-a603-f5dcf58872c9,70392,F,nascimentonina,Tratamento A,RN
False,Projetista mecânico,815.369.027-21,bX-0521849,ana-luiza41@gmail.com,Ortopedia,4,https://dummyimage.com/747x628,767ff5d1-094e-4ec3-bce1-1e783416187d,Benício Melo,133225be-5bf6-452a-adb6-1954bc2ab110,48245,M,das-nevesgabriel,Tratamento B,RJ
False,Protesista,149.872.630-50,VK-5188633,murilolima@bol.com.br,Ginecologia,1,https://www.lorempixel.com/630/84,6660e9fb-0288-4aea-8350-dc6edfc9d207,Maysa Jesus,e3ac53c5-0ce1-4e54-96ce-795947f95756,54263,F,oliveiranatalia,Tratamento B,AP
False,Trompetista,406.519.278-11,xo-4406148,da-matalorena@ig.com.br,Pediatria,4,https://dummyimage.com/311x125,af25f8fa-6a73-4222-9c04-2a91c9046873,Igor Caldeira,12c82820-02f4-493b-9088-060876302ead,37027,M,joao-gabrielfreitas,Tratamento A,RS
False,Auxiliar de serviços gerais,097.162.458-58,Im-0558447,freitasjoao-pedro@hotmail.com,Cardiologia,1,https://www.lorempixel.com/169/899,5f4385d7-fc7a-40de-a703-aaadeac5f25d,Carolina Oliveira,d92b1e15-1d6d-4f9a-834c-d3f87305aa45,74639,M,lsantos,Tratamento C,SP
False,Acupunturista,923.784.165-55,RH-1697065,levicaldeira@yahoo.com.br,Pediatria,4,https://placekitten.com/396/454,abffdeb7-507d-42c0-89d1-3660cc3fd309,Srta. Melissa Cardoso,4771e2ad-52d6-4276-8069-846d900e57f4,69841,M,santosanthony,Tratamento C,MG
True,Comprador,967.402.318-69,vY-2631913,fsales@barbosa.com,Dermatologia,3,https://www.lorempixel.com/234/99,ec62aa46-afd4-44f1-a513-11c2c0ef5662,Catarina Fernandes,f6c08a61-b5f5-4fd7-bcb4-af4d1771e74f,59479,M,lauracorreia,Tratamento C,ES
False,Chapeiro,960.183.754-00,hk-7642709,da-rosamaria-alice@silveira.com,Pediatria,5,https://placekitten.com/775/370,bebad622-dff6-49ec-b83c-5b07e0ef86f8,Caio Ramos,11e2f5c1-7693-42af-a79b-f7a4bc49f59c,72563,M,luigi88,Tratamento B,SE
False,Defensor Público,058.361.927-40,Yu-2013761,xda-cunha@uol.com.br,Pediatria,5,https://placeimg.com/775/156/any,c76342a1-0587-4e63-b64d-35540bbfb4ca,Alícia Mendes,d66a3d95-a30b-4a63-8d10-e491a49f9109,35337,M,goncalvesnatalia,Tratamento A,AP
True,Advogado,195.068.427-01,XJ-7624896,da-conceicaomaria-alice@cavalcanti.br,Pediatria,3,https://dummyimage.com/367x747,a7599aae-04f1-4a7e-b9d5-82a5c4edcb85,Maysa da Conceição,0110b4e5-d70e-4a2f-a188-ae599e5fcf7a,25990,M,heitor96,Tratamento C,AP
True,Contramestre em transporte marítimo,729.045.361-16,ZI-1120912,ana-juliada-conceicao@hotmail.com,Ortopedia,3,https://www.lorempixel.com/79/241,4952267e-5794-4769-93d4-8c27a677ec0b,Enzo Gabriel Porto,c6a74f28-4eee-47e0-a160-973fe1bd38ac,14366,F,rodriguesantonio,Tratamento A,TO
False,Jangadeiro,280.196.574-01,KV-0957132,zda-rosa@da.com,Cardiologia,5,https://dummyimage.com/158x943,fed2eca5-1219-408a-a40c-e903c7af0fb3,Matheus da Luz,df4e5e41-4a69-4ce2-8b62-242936a859c2,82356,M,ana-livia03,Tratamento C,SP
True,Profissional de rádio e tv,035.219.476-61,ut-6749518,rramos@hotmail.com,Ortopedia,1,https://placekitten.com/963/704,7b7daf6d-c14d-41b0-88a0-2d05023fd78e,Eduardo Silva,ab2a69f5-f7a8-4626-9ab6-979b94ed8de4,34713,F,natalia44,Tratamento C,RS
False,Pedicure,654.923.871-46,Nr-4959157,da-matajoao-guilherme@da.com,Ortopedia,4,https://dummyimage.com/473x748,fbfc6e2a-9f29-4721-b2dd-6f2ae38a2cd2,Sarah Caldeira,f8fab801-d611-43e9-8cd9-67ae2a483ccd,52557,F,qcastro,Tratamento B,GO
False,Porteiro,051.963.724-07,mG-5928990,marcela54@ig.com.br,Pediatria,1,https://dummyimage.com/923x252,cd89a0ad-601a-48bc-b894-567a91ab7ad8,Valentina Carvalho,5060c99d-b47d-40ff-b226-3256f6ad482a,19236,F,nascimentomaria-eduarda,Tratamento A,RS
False,Estoquista,486.913.270-22,Jd-2103146,hda-mota@bol.com.br,Dermatologia,2,https://dummyimage.com/222x986,a5cf6111-2343-4d8a-a992-36bffa697551,Thales Silva,063ee5c4-f1bf-479e-8797-ed252dd4ab40,96163,M,ana-luizajesus,Tratamento A,RS
True,Psicomotricista,398.410.276-31,hp-1878766,ana-juliabarbosa@hotmail.com,Dermatologia,1,https://placeimg.com/973/631/any,959bcc88-87c9-4bcb-ad30-adc0fa185d77,Bianca Monteiro,8ed8d545-e5e2-45df-9fe0-8ea2a347dd8b,50369,F,barbara14,Tratamento B,TO
True,Contramestre em transporte marítimo,762.149.308-96,TE-5800582,wsales@caldeira.com,Pediatria,4,https://placekitten.com/98/2,b68295d4-75fc-4783-9c20-c7daa96f00b7,Beatriz da Mota,200070fc-8bf9-4d90-927d-1ced492dbec0,58946,M,fariasolivia,Tratamento B,TO
True,Engenheiro ambiental,987.240.315-50,zt-5431644,duartemaite@barbosa.net,Cardiologia,1,https://dummyimage.com/621x946,b7acc7c5-dac7-42c1-9e56-5b9f61baa8bc,Bernardo da Mota,19e0aa9b-b2ea-4e56-81fc-83efb2ab486f,44862,M,luiza62,Tratamento A,PB
True,Reumatologista,926.185.073-12,nJ-1330084,mourahenrique@ig.com.br,Dermatologia,5,https://placekitten.com/139/403,814e594b-d68d-409b-86e5-185180c1e6ca,Levi Melo,98bfaee8-876e-4de7-911c-650c62d6250e,60995,M,snascimento,Tratamento A,SE
True,Lutador de kung fu,530.941.827-04,XN-8206289,lararocha@ramos.com,Cardiologia,2,https://dummyimage.com/184x610,d984cd17-106b-4b26-84df-e0df35a4b376,Matheus Nogueira,6e8a6edd-de05-4b03-93bf-336d378939d7,29264,F,augustomoraes,Tratamento B,SP
False,Homeopata,417.986.523-82,XK-9925915,zlopes@uol.com.br,Ortopedia,4,https://www.lorempixel.com/757/133,0320ae41-7f27-47e2-bf9e-1daf0e0e9004,Luna Melo,33075333-c0a3-43fc-9a0c-7ed4cb2b7228,27915,F,bsilveira,Tratamento B,TO
False,Jogador de badminton,604.712.395-34,xo-7182393,luiz-otaviovieira@yahoo.com.br,Ortopedia,2,https://www.lorempixel.com/79/639,e75388ea-9664-4a11-82b4-b2fb7e9c1433,Kevin Ribeiro,2fb8ccf8-37bd-40c1-91d1-0272bbed653f,28661,M,aragaomaria-fernanda,Tratamento A,PR
False,Operador de vídeo,976.324.018-22,SA-9593876,ana-julia01@duarte.br,Ortopedia,2,https://placekitten.com/477/668,965ef432-e406-4a3d-bca4-e9db7e9440a2,Danilo da Rocha,9ba80b0c-021d-4623-90ef-08a33dab46ba,93507,F,pereiralavinia,Tratamento C,RS
True,Navegador,278.605.194-02,GK-3611518,laramonteiro@pires.br,Pediatria,3,https://placekitten.com/34/350,e629422f-f0be-4ac9-9e7e-aa8d23512ee0,Murilo Barros,1bedab1c-f65f-46b5-8530-ba1e3eab1fc3,87533,F,luiz-miguel32,Tratamento A,AP
False,Conferente de expedição,761.294.038-87,tH-1448995,cduarte@freitas.br,Ginecologia,5,https://dummyimage.com/154x194,e5bf27a0-0de4-4bc5-88b0-13e38bb4d2d4,Sr. Henrique Nogueira,83884ee2-0fb9-49ea-826b-4e9aa8043ae4,52082,M,yasmincosta,Tratamento C,ES
True,Florista,189.603.245-15,pm-0930976,crezende@yahoo.com.br,Ortopedia,3,https://www.lorempixel.com/87/615,d3e428cd-1e08-41f4-804c-c0db080944d1,Raquel da Rocha,58277382-41f3-4ea5-8b95-8973453ed0d2,63946,F,da-motanicolas,Tratamento C,MA
True,Motofrete,352.906.781-40,Hi-2467229,maria-eduardaalmeida@ig.com.br,Ginecologia,1,https://placeimg.com/237/617/any,b4e1b4a2-632b-4324-8020-e62edaa83bc1,João Souza,444527b5-2ca3-405e-be9d-32d424c22694,49434,M,azevedolarissa,Tratamento B,PR
True,Consultor,946.718.053-75,CL-6672129,alana98@barros.br,Cardiologia,2,https://www.lorempixel.com/534/676,37e12474-ba21-4c04-a553-4797935910d9,Maria Fernanda Nunes,a1c01bc4-4312-405a-83cc-41a62d1369ea,31464,M,camilacardoso,Tratamento A,PI
False,Engenheiro florestal,852.419.063-98,Sh-3732291,freitasdaniela@ig.com.br,Ortopedia,3,https://dummyimage.com/570x94,052ec0d6-f644-45e7-bbb7-0b2a90246b36,Enrico da Costa,3032b7f9-96f8-4fa0-8bf8-57da0ffbe3d7,83991,F,rodrigo86,Tratamento C,GO
True,Promotor de eventos,692.853.471-00,PP-9952863,barrostheo@moraes.com,Dermatologia,2,https://dummyimage.com/49x230,7465767e-188e-45da-9357-b15dd95032d5,Noah Dias,8c640f5e-8b54-45e5-98b2-c75cff4b1fb3,34470,F,alice36,Tratamento A,PA
False,Jogador de hóquei,028.367.459-83,KQ-6409687,ubarros@hotmail.com,Cardiologia,2,https://dummyimage.com/221x693,242563e6-41f7-4596-9b28-72d92315e0e9,Lívia Ramos,32539bcc-cb05-48ee-91bf-258557d0a568,12095,F,thomassilva,Tratamento A,SE
False,Tecnólogo em silvicultura,581.792.063-86,WM-3940011,carvalhoheloisa@bol.com.br,Dermatologia,1,https://placeimg.com/463/839/any,ea501879-a82b-4a72-a020-d444416c3d2b,Davi Lucca Peixoto,3df1607b-c4e0-4b53-8443-643340a562cc,98690,M,galmeida,Tratamento A,RR
True,Jornalista,407.183.695-48,ik-6234492,mariane47@yahoo.com.br,Dermatologia,2,https://placekitten.com/657/206,9351b10a-8b82-4b2e-91e4-f8365990f785,Melissa Rodrigues,51162a7d-2cf6-4eb8-96c4-d0bf7280c9cc,61941,F,julianada-cruz,Tratamento B,RO
True,Prático,746.092.381-87,Gn-4518280,diego29@campos.com,Pediatria,1,https://dummyimage.com/18x196,c66a9c1d-9b3a-486a-a774-808530c3357d,Nicolas Melo,f584afca-9bbe-4e40-8962-71dc553b6364,45779,M,afogaca,Tratamento B,MS
False,Geofísico,129.576.038-02,fr-1537473,hcunha@ig.com.br,Pediatria,2,https://placeimg.com/1023/912/any,eda50efd-7464-4659-bd28-3ec87df54f83,Vicente Gomes,680dd230-86b0-46f5-8c9a-070525410b02,99636,M,vianagabriel,Tratamento C,MA
True,Produtor musical,694.280.573-47,WV-5889204,calebe33@nunes.org,Ortopedia,4,https://www.lorempixel.com/488/710,8d26f1c5-e249-4039-9cef-aea06cdfd05f,Danilo Viana,0ea8e941-a738-48f2-bc29-7b9b8c208d45,17585,M,ggomes,Tratamento A,MT
True,Administrador público,571.906.243-25,ND-0283820,davi-luizramos@gmail.com,Ginecologia,4,https://dummyimage.com/144x1013,9eda5e8f-811e-45b4-b895-431b42eedaa3,Paulo da Conceição,6b11bd7f-9a5a-4d82-9bf6-d7227dc92f08,31456,F,olivia61,Tratamento C,SC
True,Administrador público,890.462.513-06,ek-2809968,fcunha@lima.com,Cardiologia,1,https://placekitten.com/724/189,5e159157-3c3c-48ff-9371-f644d659efd1,Raquel Gonçalves,7a9a0dd8-6425-4d41-bd1a-ac6910582a12,35203,F,da-matabianca,Tratamento A,RR
True,Biblioteconomista,724.391.865-46,Dw-1049682,enzomonteiro@hotmail.com,Ortopedia,4,https://placeimg.com/214/117/any,2f45da2c-97c0-4ffb-89e0-f50acd590ae0,Renan Fernandes,c39c4243-4877-4136-a14f-704c09b00223,80215,M,goncalvesluna,Tratamento A,TO
False,Fotógrafo,629.857.130-21,Fx-2211137,ncardoso@gomes.com,Pediatria,1,https://www.lorempixel.com/739/133,90ddc3c8-0283-494a-ad0c-68422fd3b8d7,Milena Dias,5377eb98-4ede-4061-8122-41d9da5ce6aa,56207,M,gomeskevin,Tratamento B,MA
True,Servente-de-obras,309.542.861-89,qA-2751204,larissa10@gmail.com,Dermatologia,4,https://placeimg.com/724/842/any,600739b4-c206-4211-acbc-5bd168dd5209,Marina Santos,3db0a4e2-0885-4a72-943c-cbd7e02c19fa,94377,M,woliveira,Tratamento A,RS
False,Skatista,791.834.605-00,Ml-9844664,diasana-luiza@azevedo.br,Dermatologia,4,https://dummyimage.com/878x135,2bc2722a-65f4-48c1-aee9-87182645c748,Lavínia Azevedo,393d7ed6-3e36-47c7-8ad8-b58e4b29606b,19328,M,caraujo,Tratamento B,CE
